transaction_id,account_id,transaction_time,amount,transaction_type,merchant,location,z_score,account_frequency,risk_score,risk
1,82,2026-02-07 07:36:00,991.04,DEBIT,Shell,Delhi,-0.4054192628880692,107,0,NORMAL
2,76,2026-03-21 14:29:00,1949.82,DEBIT,Netflix,Ludhiana,-0.2819233917364334,74,0,NORMAL
3,78,2026-03-22 06:14:00,690.3,DEBIT,Myntra,Ludhiana,-0.7583232382410311,102,0,NORMAL
4,36,2026-02-28 03:07:00,5565.96,DEBIT,Swiggy,Bangalore,0.2757498590335531,85,0,NORMAL
5,36,2026-02-05 05:07:00,1461.6,DEBIT,Flipkart,Hyderabad,-0.27987081276450926,85,0,NORMAL
6,45,2026-06-17 06:30:00,3023.25,CREDIT,Shell,Delhi,-0.05620772588642287,97,0,NORMAL
7,49,2026-05-12 16:00:00,774.01,CREDIT,Local Store,Mumbai,-1.1734242322512813,95,0,NORMAL
8,91,2026-04-16 08:42:00,1088.62,DEBIT,Walmart,Hyderabad,-0.3664201040363418,100,0,NORMAL
9,30,2026-03-01 05:17:00,3517.32,CREDIT,Flipkart,Bangalore,0.10209868264792395,92,0,NORMAL
10,27,2026-01-26 23:55:00,4176.56,DEBIT,Local Store,Pune,1.00802616234116,90,0,NORMAL
11,22,2026-07-22 18:42:00,2929.99,DEBIT,Netflix,Pune,-0.11654354682975035,108,0,NORMAL
12,42,2026-03-25 09:27:00,5487.64,CREDIT,Amazon,Hyderabad,0.46901855176870466,104,0,NORMAL
13,41,2026-04-25 13:41:00,3470.65,DEBIT,Netflix,Pune,0.037758148230411744,100,0,NORMAL
14,64,2026-06-17 01:30:00,2789.47,CREDIT,Uber,Bangalore,0.06870549063198336,110,0,NORMAL
15,18,2026-05-26 10:00:00,1318.66,DEBIT,Flipkart,Mumbai,-1.158714368057711,96,0,NORMAL
16,18,2026-01-18 03:42:00,2587.83,DEBIT,Walmart,Mumbai,-0.3033280201468538,96,0,NORMAL
17,81,2026-06-20 09:52:00,1046.12,DEBIT,Shell,Bangalore,-0.3924052311561743,105,0,NORMAL
18,71,2026-02-11 16:58:00,3038.9,DEBIT,Shell,Hyderabad,0.2979256083435153,99,0,NORMAL
19,35,2026-01-02 04:21:00,3515.88,DEBIT,Apple,Ludhiana,0.49016560101867335,103,0,NORMAL
20,98,2026-04-19 15:51:00,1533.21,CREDIT,Shell,Ludhiana,-0.9042625725837454,114,0,NORMAL
21,26,2026-07-13 02:18:00,1216.81,CREDIT,Amazon,Ludhiana,-0.9417349836141804,98,0,NORMAL
22,42,2026-05-13 03:46:00,1861.25,DEBIT,Apple,Mumbai,-0.2932636041322655,104,0,NORMAL
23,8,2026-01-26 04:47:00,1437.68,DEBIT,Shell,Hyderabad,-0.3039727078301173,91,0,NORMAL
24,17,2026-07-20 04:15:00,1032.94,DEBIT,Uber,Bangalore,-0.3156371746518364,97,0,NORMAL
25,68,2026-03-15 05:41:00,3749.86,DEBIT,Apple,Chandigarh,0.13717929054864603,100,0,NORMAL
26,86,2026-07-08 10:38:00,3698.74,DEBIT,Myntra,Delhi,0.5804424334323396,76,0,NORMAL
27,32,2026-03-22 04:17:00,1246.58,DEBIT,Amazon,Delhi,-0.5320391864625215,107,0,NORMAL
28,91,2026-01-12 10:29:00,4286.33,DEBIT,Flipkart,Delhi,0.017548651289796022,100,0,NORMAL
29,66,2026-07-27 21:51:00,1438.1,DEBIT,Local Store,Chandigarh,-0.9461400120443331,95,0,NORMAL
30,32,2026-03-11 07:49:00,3419.77,CREDIT,Walmart,Delhi,0.15780134208223842,107,0,NORMAL
31,85,2026-02-05 19:59:00,1832.85,DEBIT,Amazon,Chandigarh,-0.6552708450552855,89,0,NORMAL
32,94,2026-04-01 12:47:00,2289.45,CREDIT,Netflix,Mumbai,-0.23828132374513739,103,0,NORMAL
33,69,2026-01-28 10:43:00,2070.0,DEBIT,Myntra,Hyderabad,-0.23376477183293642,112,0,NORMAL
34,71,2026-07-16 19:43:00,1030.15,DEBIT,Amazon,Delhi,-1.0547125081301991,99,0,NORMAL
35,97,2026-05-27 00:20:00,4944.09,DEBIT,Amazon,Mumbai,1.396764000193371,96,0,NORMAL
36,49,2026-06-15 15:55:00,636.78,DEBIT,Apple,Chandigarh,-1.2785653182831573,95,0,NORMAL
37,90,2026-02-26 08:38:00,6338.5,DEBIT,Netflix,Bangalore,0.12687714648255569,93,0,NORMAL
38,28,2026-07-17 09:46:00,4814.69,DEBIT,Amazon,Pune,1.319826875668043,98,0,NORMAL
39,41,2026-02-27 07:40:00,564.01,CREDIT,Amazon,Ludhiana,-0.5550255860779769,100,0,NORMAL
40,11,2026-01-25 17:51:00,3685.12,DEBIT,Netflix,Chandigarh,0.002671314890568985,118,0,NORMAL
41,16,2026-01-30 20:22:00,3326.44,DEBIT,Swiggy,Pune,0.13409232751472133,95,0,NORMAL
42,75,2026-04-05 22:36:00,2619.27,DEBIT,Netflix,Pune,-0.19176880991837295,89,0,NORMAL
43,92,2026-06-16 11:17:00,1889.0,DEBIT,Flipkart,Hyderabad,-0.3178778088993258,119,0,NORMAL
44,10,2026-07-24 23:30:00,613.33,DEBIT,Walmart,Delhi,-0.4340488263931772,91,0,NORMAL
45,69,2026-03-30 22:35:00,1378.25,CREDIT,Flipkart,Bangalore,-0.2993735283658736,112,0,NORMAL
46,21,2026-04-21 03:26:00,3903.13,DEBIT,Local Store,Hyderabad,0.04811094270460421,122,10,NORMAL
47,84,2026-02-07 17:09:00,2428.31,CREDIT,Uber,Bangalore,-0.17153080289430928,95,0,NORMAL
48,15,2026-02-26 14:19:00,3258.21,DEBIT,Apple,Bangalore,0.035802035006857545,91,0,NORMAL
49,78,2026-07-04 00:19:00,1143.64,CREDIT,Myntra,Bangalore,-0.6254632138689095,102,0,NORMAL
50,7,2026-04-11 17:40:00,1206.6,DEBIT,Amazon,Delhi,-0.3614034883637615,93,0,NORMAL
51,43,2026-07-20 20:39:00,3466.21,DEBIT,Swiggy,Ludhiana,0.07590721105543745,97,0,NORMAL
52,2,2026-02-24 06:27:00,855.06,CREDIT,Shell,Delhi,-1.4208399820834268,117,0,NORMAL
53,48,2026-01-15 12:36:00,3364.72,DEBIT,Flipkart,Mumbai,-0.09531799930331562,102,0,NORMAL
54,88,2026-07-23 20:20:00,1792.77,DEBIT,Swiggy,Ludhiana,-0.2472821397645074,104,0,NORMAL
55,96,2026-03-06 11:06:00,1736.1,CREDIT,Swiggy,Delhi,-0.6915399071350716,96,0,NORMAL
56,23,2026-05-30 21:36:00,3001.26,DEBIT,Netflix,Bangalore,0.2255144775918153,96,0,NORMAL
57,21,2026-03-22 23:39:00,5638.42,CREDIT,Netflix,Hyderabad,0.32699401915393816,122,10,NORMAL
58,59,2026-03-24 20:45:00,2733.91,CREDIT,Netflix,Delhi,-0.13325557783430425,92,0,NORMAL
59,85,2026-04-12 15:01:00,1046.06,CREDIT,Flipkart,Pune,-1.1310764453387605,89,0,NORMAL
60,66,2026-07-15 05:31:00,3311.07,CREDIT,Flipkart,Delhi,0.31517076869739286,95,0,NORMAL
61,15,2026-01-14 22:17:00,4343.49,CREDIT,Walmart,Ludhiana,0.2806038031395257,91,0,NORMAL
62,56,2026-06-08 21:16:00,2731.36,CREDIT,Local Store,Ludhiana,-0.08331171410688305,101,0,NORMAL
63,15,2026-01-01 14:46:00,1853.86,DEBIT,Shell,Hyderabad,-0.2809709296447648,91,0,NORMAL
64,69,2026-03-13 17:43:00,3272.24,CREDIT,Flipkart,Chandigarh,-0.11973879213773102,112,0,NORMAL
65,9,2026-02-15 08:59:00,6233.73,DEBIT,Apple,Ludhiana,0.8618457790333798,84,0,NORMAL
66,40,2026-04-18 15:28:00,2917.12,DEBIT,Shell,Mumbai,-0.05251288548985094,109,0,NORMAL
