transaction_id,account_id,transaction_time,amount,transaction_type,merchant,location,known_anomaly
1,82,2026-02-07 07:36:00,991.04,DEBIT,Shell,Delhi,False
2,76,2026-03-21 14:29:00,1949.82,DEBIT,Netflix,Ludhiana,False
3,78,2026-03-22 06:14:00,690.3,DEBIT,Myntra,Ludhiana,False
4,36,2026-02-28 03:07:00,5565.96,DEBIT,Swiggy,Bangalore,False
5,36,2026-02-05 05:07:00,1461.6,DEBIT,Flipkart,Hyderabad,False
6,45,2026-06-17 06:30:00,3023.25,CREDIT,Shell,Delhi,False
7,49,2026-05-12 16:00:00,774.01,CREDIT,Local Store,Mumbai,False
8,91,2026-04-16 08:42:00,1088.62,DEBIT,Walmart,Hyderabad,False
9,30,2026-03-01 05:17:00,3517.32,CREDIT,Flipkart,Bangalore,False
10,27,2026-01-26 23:55:00,4176.56,DEBIT,Local Store,Pune,False
11,22,2026-07-22 18:42:00,2929.99,DEBIT,Netflix,Pune,False
12,42,2026-03-25 09:27:00,5487.64,CREDIT,Amazon,Hyderabad,False
13,41,2026-04-25 13:41:00,3470.65,DEBIT,Netflix,Pune,False
14,64,2026-06-17 01:30:00,2789.47,CREDIT,Uber,Bangalore,False
15,18,2026-05-26 10:00:00,1318.66,DEBIT,Flipkart,Mumbai,False
16,18,2026-01-18 03:42:00,2587.83,DEBIT,Walmart,Mumbai,False
17,81,2026-06-20 09:52:00,1046.12,DEBIT,Shell,Bangalore,False
18,71,2026-02-11 16:58:00,3038.9,DEBIT,Shell,Hyderabad,False
19,35,2026-01-02 04:21:00,3515.88,DEBIT,Apple,Ludhiana,False
20,98,2026-04-19 15:51:00,1533.21,CREDIT,Shell,Ludhiana,False
21,26,2026-07-13 02:18:00,1216.81,CREDIT,Amazon,Ludhiana,False
22,42,2026-05-13 03:46:00,1861.25,DEBIT,Apple,Mumbai,False
23,8,2026-01-26 04:47:00,1437.68,DEBIT,Shell,Hyderabad,False
24,17,2026-07-20 04:15:00,1032.94,DEBIT,Uber,Bangalore,False
25,68,2026-03-15 05:41:00,3749.86,DEBIT,Apple,Chandigarh,False
26,86,2026-07-08 10:38:00,3698.74,DEBIT,Myntra,Delhi,False
27,32,2026-03-22 04:17:00,1246.58,DEBIT,Amazon,Delhi,False
28,91,2026-01-12 10:29:00,4286.33,DEBIT,Flipkart,Delhi,False
29,66,2026-07-27 21:51:00,1438.1,DEBIT,Local Store,Chandigarh,False
30,32,2026-03-11 07:49:00,3419.77,CREDIT,Walmart,Delhi,False
31,85,2026-02-05 19:59:00,1832.85,DEBIT,Amazon,Chandigarh,False
32,94,2026-04-01 12:47:00,2289.45,CREDIT,Netflix,Mumbai,False
33,69,2026-01-28 10:43:00,2070.0,DEBIT,Myntra,Hyderabad,False
34,71,2026-07-16 19:43:00,1030.15,DEBIT,Amazon,Delhi,False
35,97,2026-05-27 00:20:00,4944.09,DEBIT,Amazon,Mumbai,False
36,49,2026-06-15 15:55:00,636.78,DEBIT,Apple,Chandigarh,False
37,90,2026-02-26 08:38:00,6338.5,DEBIT,Netflix,Bangalore,False
38,28,2026-07-17 09:46:00,4814.69,DEBIT,Amazon,Pune,False
39,41,2026-02-27 07:40:00,564.01,CREDIT,Amazon,Ludhiana,False
40,11,2026-01-25 17:51:00,3685.12,DEBIT,Netflix,Chandigarh,False
41,16,2026-01-30 20:22:00,3326.44,DEBIT,Swiggy,Pune,False
42,75,2026-04-05 22:36:00,2619.27,DEBIT,Netflix,Pune,False
43,92,2026-06-16 11:17:00,1889.0,DEBIT,Flipkart,Hyderabad,False
44,10,2026-07-24 23:30:00,613.33,DEBIT,Walmart,Delhi,False
45,69,2026-03-30 22:35:00,1378.25,CREDIT,Flipkart,Bangalore,False
46,21,2026-04-21 03:26:00,3903.13,DEBIT,Local Store,Hyderabad,False
47,84,2026-02-07 17:09:00,2428.31,CREDIT,Uber,Bangalore,False
48,15,2026-02-26 14:19:00,3258.21,DEBIT,Apple,Bangalore,False
49,78,2026-07-04 00:19:00,1143.64,CREDIT,Myntra,Bangalore,False
50,7,2026-04-11 17:40:00,1206.6,DEBIT,Amazon,Delhi,False
51,43,2026-07-20 20:39:00,3466.21,DEBIT,Swiggy,Ludhiana,False
52,2,2026-02-24 06:27:00,855.06,CREDIT,Shell,Delhi,False
53,48,2026-01-15 12:36:00,3364.72,DEBIT,Flipkart,Mumbai,False
54,88,2026-07-23 20:20:00,1792.77,DEBIT,Swiggy,Ludhiana,False
55,96,2026-03-06 11:06:00,1736.1,CREDIT,Swiggy,Delhi,False
56,23,2026-05-30 21:36:00,3001.26,DEBIT,Netflix,Bangalore,False
57,21,2026-03-22 23:39:00,5638.42,CREDIT,Netflix,Hyderabad,False
58,59,2026-03-24 20:45:00,2733.91,CREDIT,Netflix,Delhi,False
59,85,2026-04-12 15:01:00,1046.06,CREDIT,Flipkart,Pune,False
60,66,2026-07-15 05:31:00,3311.07,CREDIT,Flipkart,Delhi,False
61,15,2026-01-14 22:17:00,4343.49,CREDIT,Walmart,Ludhiana,False
62,56,2026-06-08 21:16:00,2731.36,CREDIT,Local Store,Ludhiana,False
63,15,2026-01-01 14:46:00,1853.86,DEBIT,Shell,Hyderabad,False
64,69,2026-03-13 17:43:00,3272.24,CREDIT,Flipkart,Chandigarh,False
65,9,2026-02-15 08:59:00,6233.73,DEBIT,Apple,Ludhiana,False
66,40,2026-04-18 15:28:00,2917.12,DEBIT,Shell,Mumbai,False
67,25,2026-07-27 04:55:00,3229.03,CREDIT,Apple,Chandigarh,False
68,71,2026-03-18 12:36:00,3666.63,DEBIT,Swiggy,Hyderabad,False
69,75,2026-07-06 02:42:00,2847.6,DEBIT,Myntra,Hyderabad,False
70,95,2026-07-07 16:05:00,1570.18,DEBIT,Local Store,Bangalore,False
71,12,2026-03-14 12:01:00,4194.08,DEBIT,Uber,Delhi,False
72,6,2026-01-27 12:22:00,1003.23,DEBIT,Myntra,Chandigarh,False
73,81,2026-02-23 17:29:00,2940.25,DEBIT,Amazon,Hyderabad,False
74,99,2026-03-21 16:15:00,3402.75,CREDIT,Uber,Hyderabad,False
75,90,2026-06-16 04:37:00,3340.17,CREDIT,Uber,Hyderabad,False
76,60,2026-04-26 12:35:00,3709.92,CREDIT,Myntra,Ludhiana,False
77,93,2026-02-27 22:44:00,2311.18,DEBIT,Myntra,Chandigarh,False
78,34,2026-04-11 23:11:00,4822.55,CREDIT,Shell,Chandigarh,False
79,81,2026-05-03 06:40:00,997.31,DEBIT,Flipkart,Ludhiana,False
80,11,2026-02-25 15:13:00,1286.39,DEBIT,Netflix,Delhi,False
81,54,2026-06-02 23:16:00,1750.73,DEBIT,Swiggy,Hyderabad,False
82,75,2026-05-19 11:49:00,4431.07,DEBIT,Myntra,Delhi,False
83,46,2026-07-15 23:02:00,1095.05,CREDIT,Shell,Hyderabad,False
84,78,2026-04-10 08:56:00,6065.61,DEBIT,Swiggy,Chandigarh,False
85,4,2026-06-20 04:07:00,1758.88,DEBIT,Uber,Ludhiana,False
86,69,2026-07-25 11:43:00,378.78,DEBIT,Amazon,Delhi,False
87,83,2026-04-30 04:27:00,2686.41,DEBIT,Netflix,Chandigarh,False
88,42,2026-04-12 07:26:00,1781.46,CREDIT,Swiggy,Bangalore,False
89,11,2026-03-23 15:16:00,2615.07,CREDIT,Walmart,Hyderabad,False
90,84,2026-04-01 00:47:00,625.46,DEBIT,Netflix,Hyderabad,False
91,3,2026-03-21 08:36:00,3363.14,DEBIT,Myntra,Pune,False
92,33,2026-02-11 16:48:00,5067.08,DEBIT,Uber,Bangalore,False
93,14,2026-05-17 15:28:00,4020.6,CREDIT,Swiggy,Pune,False
94,26,2026-03-30 10:03:00,722.87,DEBIT,Walmart,Pune,False
95,99,2026-07-26 01:11:00,1519.85,CREDIT,Amazon,Bangalore,False
96,69,2026-07-04 05:09:00,1421.74,DEBIT,Flipkart,Delhi,False
97,54,2026-06-17 09:15:00,6306.75,DEBIT,Uber,Chandigarh,False
98,23,2026-04-09 08:00:00,5291.27,CREDIT,Local Store,Hyderabad,False
99,69,2026-04-28 08:20:00,2168.35,DEBIT,Netflix,Hyderabad,False
100,12,2026-06-19 04:41:00,1934.74,DEBIT,Local Store,Ludhiana,False
101,86,2026-03-19 05:31:00,3263.8,DEBIT,Flipkart,Hyderabad,False
102,34,2026-04-11 14:04:00,2209.25,CREDIT,Shell,Delhi,False
103,67,2026-03-29 11:58:00,6399.21,DEBIT,Myntra,Pune,False
104,92,2026-02-03 21:06:00,3262.35,CREDIT,Apple,Mumbai,False
105,52,2026-07-13 07:15:00,3200.67,DEBIT,Flipkart,Chandigarh,False
106,96,2026-06-15 04:53:00,3898.46,DEBIT,Apple,Bangalore,False
107,33,2026-03-09 09:51:00,1477.36,DEBIT,Netflix,Mumbai,False
108,95,2026-07-11 00:20:00,2105.17,DEBIT,Local Store,Bangalore,False
109,13,2026-07-14 11:20:00,3959.0,DEBIT,Uber,Bangalore,False
110,6,2026-02-15 23:26:00,5991.3,DEBIT,Myntra,Delhi,False
111,2,2026-01-19 16:56:00,2267.93,DEBIT,Apple,Hyderabad,False
112,62,2026-06-29 00:56:00,1065.57,DEBIT,Walmart,Ludhiana,False
113,81,2026-02-01 00:19:00,4537.51,CREDIT,Netflix,Delhi,False
114,72,2026-03-24 04:05:00,5406.32,DEBIT,Shell,Chandigarh,False
115,58,2026-07-27 00:45:00,4140.13,DEBIT,Local Store,Delhi,False
116,79,2026-03-17 15:40:00,6355.96,DEBIT,Netflix,Bangalore,False
